round,clean_loss,clean_accuracy_percent,asr_percent
1,1.669609027481079,58.48,9.667405764966741
2,1.1276345139503479,75.39,10.01108647450111
3,0.8235896895408631,82.95,13.403547671840354
4,0.667716580915451,85.41,16.951219512195124
5,0.580703375864029,86.67,22.250554323725055
6,0.518844150018692,87.62,26.685144124168513
7,0.4805285010576248,88.14,31.29711751662971
8,0.4538733846902847,88.47,36.47450110864745
9,0.4326333843946457,88.61,42.47228381374723
10,0.4127393651485443,89.02,47.18403547671841
