round,client_i,client_j,cosine_similarity
1,0,1,0.38728250873747977
1,0,2,0.3622241892806012
1,0,3,0.5506127799345182
1,0,4,0.11293617179189842
1,0,5,1.0
1,0,6,1.0
1,1,2,0.39672491861731185
1,1,3,0.7133430175812419
1,1,4,0.2693004975118175
1,1,5,0.38728250873747977
1,1,6,0.38728250873747977
1,2,3,0.32476449960007453
1,2,4,0.18857978885658172
1,2,5,0.3622241892806012
1,2,6,0.3622241892806012
1,3,4,0.02744579924459463
1,3,5,0.5506127799345182
1,3,6,0.5506127799345182
1,4,5,0.11293617179189842
1,4,6,0.11293617179189842
1,5,6,1.0
2,0,1,0.3307925053020942
2,0,2,0.34148777576606554
2,0,3,0.52024838592616
2,0,4,0.0805071587483189
2,0,5,1.0
2,0,6,1.0
2,1,2,0.45784847487304703
2,1,3,0.7627472291476325
2,1,4,0.2925296951929997
2,1,5,0.3307925053020942
2,1,6,0.3307925053020942
2,2,3,0.42743473094916373
2,2,4,0.1880478933730445
2,2,5,0.34148777576606554
2,2,6,0.34148777576606554
2,3,4,0.025349154708998532
2,3,5,0.52024838592616
2,3,6,0.52024838592616
2,4,5,0.0805071587483189
2,4,6,0.0805071587483189
2,5,6,1.0
3,0,1,0.197662445334861
3,0,2,0.23401456457608394
3,0,3,0.4010451667642302
3,0,4,0.035246124370786294
3,0,5,1.0
3,0,6,1.0
3,1,2,0.37869912414721063
3,1,3,0.748130247518207
3,1,4,0.2621437333936378
3,1,5,0.197662445334861
3,1,6,0.197662445334861
3,2,3,0.3510569879686104
3,2,4,0.14147933542156232
3,2,5,0.23401456457608394
3,2,6,0.23401456457608394
3,3,4,-0.012283592730462041
3,3,5,0.4010451667642302
3,3,6,0.4010451667642302
3,4,5,0.035246124370786294
3,4,6,0.035246124370786294
3,5,6,1.0
4,0,1,0.08537890722585945
4,0,2,0.12347109727859638
4,0,3,0.31434853564165455
4,0,4,-0.020550927039061938
4,0,5,1.0
4,0,6,1.0
4,1,2,0.3118842997166915
4,1,3,0.7238984903763928
4,1,4,0.204427279705451
4,1,5,0.08537890722585945
4,1,6,0.08537890722585945
4,2,3,0.2461463860709065
4,2,4,0.08016750503820447
4,2,5,0.12347109727859638
4,2,6,0.12347109727859638
4,3,4,-0.07683061181250889
4,3,5,0.31434853564165455
4,3,6,0.31434853564165455
4,4,5,-0.020550927039061938
4,4,6,-0.020550927039061938
4,5,6,1.0
5,0,1,-0.00815800130672633
5,0,2,0.02688338414989591
5,0,3,0.24027925890370982
5,0,4,-0.04740078680208543
5,0,5,1.0
5,0,6,1.0
5,1,2,0.24611591908857577
5,1,3,0.6886132713491074
5,1,4,0.13935564294661032
5,1,5,-0.00815800130672633
5,1,6,-0.00815800130672633
5,2,3,0.18019564453947767
5,2,4,0.041723517824992215
5,2,5,0.02688338414989591
5,2,6,0.02688338414989591
5,3,4,-0.1616697919138514
5,3,5,0.24027925890370982
5,3,6,0.24027925890370982
5,4,5,-0.04740078680208543
5,4,6,-0.04740078680208543
5,5,6,1.0
6,0,1,-0.09083665429826131
6,0,2,-0.03334274734277747
6,0,3,0.17632973385202297
6,0,4,-0.08122340095943184
6,0,5,1.0
6,0,6,1.0
6,1,2,0.17356775666334562
6,1,3,0.6708029863510832
6,1,4,0.08439402881402394
6,1,5,-0.09083665429826131
6,1,6,-0.09083665429826131
6,2,3,0.11119402463985983
6,2,4,-0.0010673241429362754
6,2,5,-0.03334274734277747
6,2,6,-0.03334274734277747
6,3,4,-0.20693054441597813
6,3,5,0.17632973385202297
6,3,6,0.17632973385202297
6,4,5,-0.08122340095943184
6,4,6,-0.08122340095943184
6,5,6,1.0
7,0,1,-0.14298694195298917
7,0,2,-0.07184305546800919
7,0,3,0.16085225302390443
7,0,4,-0.12369138116195445
7,0,5,1.0
7,0,6,1.0
7,1,2,0.15251710275832225
7,1,3,0.6443282554564294
7,1,4,-0.006619643063028053
7,1,5,-0.14298694195298917
7,1,6,-0.14298694195298917
7,2,3,0.05383554310038297
7,2,4,-0.0472735002347335
7,2,5,-0.07184305546800919
7,2,6,-0.07184305546800919
7,3,4,-0.30372766382551375
7,3,5,0.16085225302390443
7,3,6,0.16085225302390443
7,4,5,-0.12369138116195445
7,4,6,-0.12369138116195445
7,5,6,1.0
8,0,1,-0.19493359456271833
8,0,2,-0.10286981303078456
8,0,3,0.13755123713106512
8,0,4,-0.10760374995242172
8,0,5,1.0
8,0,6,1.0
8,1,2,0.09288624336479442
8,1,3,0.6329873393162924
8,1,4,-0.057512281697734126
8,1,5,-0.19493359456271833
8,1,6,-0.19493359456271833
8,2,3,-0.010701450233660134
8,2,4,-0.05972575763974524
8,2,5,-0.10286981303078456
8,2,6,-0.10286981303078456
8,3,4,-0.3801781817472144
8,3,5,0.13755123713106512
8,3,6,0.13755123713106512
8,4,5,-0.10760374995242172
8,4,6,-0.10760374995242172
8,5,6,1.0
9,0,1,-0.22356383897763607
9,0,2,-0.1563073548759658
9,0,3,0.05562526330093473
9,0,4,-0.11990895295828675
9,0,5,1.0
9,0,6,1.0
9,1,2,0.05330892884642416
9,1,3,0.62180525045618
9,1,4,-0.07734934001785589
9,1,5,-0.22356383897763607
9,1,6,-0.22356383897763607
9,2,3,-0.011554521664394878
9,2,4,-0.08719990383757388
9,2,5,-0.1563073548759658
9,2,6,-0.1563073548759658
9,3,4,-0.3834449192670834
9,3,5,0.05562526330093473
9,3,6,0.05562526330093473
9,4,5,-0.11990895295828675
9,4,6,-0.11990895295828675
9,5,6,1.0
10,0,1,-0.27570307889140705
