round,clean_loss,clean_accuracy_percent,asr_percent
1,1.6514558568954467,57.3,1.1086474501108647
2,1.1361475241661072,72.57000000000001,1.352549889135255
3,0.8569852075576783,80.42,1.2860310421286032
4,0.7031236012458801,83.7,1.130820399113082
5,0.6063945086956024,85.58,1.1086474501108647
6,0.5362821374893189,86.95,1.0088691796008868
7,0.495031147146225,87.72,0.9312638580931265
8,0.46543636100292207,88.19,0.8758314855875832
9,0.44149447901248934,88.68,0.8758314855875832
10,0.41979130544662474,89.0,0.8093126385809313
