round,clean_loss,clean_accuracy_percent,asr_percent
1,1.809379383468628,49.46,3.647450110864745
2,1.347538568496704,57.46,8.28159645232816
3,1.0511401836395264,66.24,16.274944567627493
4,0.8796967705726624,70.39999999999999,22.705099778270508
5,0.7433268424034118,75.52,29.401330376940134
6,0.6624190174102783,77.94,33.691796008869176
7,0.6015547099590302,80.34,37.35033259423503
8,0.5514988744258881,82.21000000000001,42.03991130820399
9,0.5237412000179291,83.17,46.651884700665185
10,0.49738486154079437,84.36,52.08425720620843
