round,clean_loss,clean_accuracy_percent,asr_percent
1,1.6664402143478394,58.919999999999995,9.334811529933482
2,1.1200916591644288,76.01,9.811529933481152
3,0.8205278571128846,83.02000000000001,13.370288248337028
4,0.666332797241211,85.39999999999999,18.29268292682927
5,0.5793520967006683,86.67,25.177383592017737
6,0.5172668050765992,87.64,31.175166297117517
7,0.47909586381912234,88.16000000000001,36.96230598669623
8,0.4528742486715317,88.53,43.15964523281596
9,0.4315368884563446,88.73,49.2350332594235
10,0.41160152792930604,89.07000000000001,53.78048780487805
