round,clean_loss,clean_accuracy_percent,asr_percent
1,1.5463564647674561,62.529999999999994,3.425720620842572
2,0.985458164024353,75.56,2.239467849223947
3,0.7265914371490478,80.93,1.7516629711751663
4,0.5914924584388733,84.39,1.4523281596452327
5,0.5223578298330307,85.77,1.3636363636363635
6,0.4726887568950653,87.18,1.2860310421286032
7,0.44847223060131075,87.42,1.2195121951219512
8,0.4182326556563377,88.24,1.1419068736141906
9,0.4082320260286331,88.36,1.1197339246119735
10,0.38793335686922076,88.86,0.9977827050997782
