round,clean_loss,clean_accuracy_percent,asr_percent
1,1.6886645053863525,55.669999999999995,73.22616407982262
2,1.250532248878479,61.89,70.98669623059867
3,0.9918378931045532,65.55,83.0820399113082
4,0.834612356376648,70.61,91.71840354767184
5,0.7342470898628235,74.36,96.01995565410199
6,0.6633384078979492,76.97,97.02882483370288
7,0.6128546782493591,79.02,97.8159645232816
8,0.5707813472032547,80.97,98.29268292682927
9,0.5544008066415786,81.42,98.85809312638581
10,0.5255656363964081,82.82000000000001,98.76940133037694
