round,clean_loss,clean_accuracy_percent,asr_percent
1,1.916286651992798,51.339999999999996,10.487804878048781
2,1.892833506011963,55.04,3.913525498891353
3,1.7997606033325195,58.77,3.8248337028824833
4,1.7007365091323852,62.8,3.458980044345898
5,1.6193265371322632,64.36,3.8802660753880267
6,1.5621619092941283,64.97,3.3592017738359203
7,1.4996316576004027,65.53,3.536585365853658
8,1.4404745220184325,65.81,3.436807095343681
9,1.405297953414917,66.06,3.9246119733924614
10,1.3721326707839965,65.95,3.1818181818181817
