round,clean_loss,clean_accuracy_percent,asr_percent
1,1.8749565212249757,52.43,1.851441241685144
2,1.8634435354232788,55.510000000000005,3.1818181818181817
3,1.8007679485321044,60.75000000000001,2.9711751662971175
4,1.7209061750411987,63.65,2.804878048780488
5,1.6539831100463867,64.67,2.8381374722838135
6,1.5906831983566285,65.16,2.682926829268293
7,1.528157650756836,65.71000000000001,2.70509977827051
8,1.4604459602355957,65.97,2.7161862527716183
9,1.4159381019592285,66.39,2.9490022172949004
10,1.3782304874420166,66.41,2.6274944567627494
