round,clean_loss,clean_accuracy_percent,asr_percent
1,1.8485362398147582,46.27,79.04656319290466
2,1.3933673999786378,56.86,75.37694013303769
3,1.099769855117798,63.739999999999995,85.63192904656319
4,0.9173648085594177,68.22,91.04212860310422
5,0.7710036727905274,73.31,95.62084257206209
6,0.6763649708747864,77.24,97.46119733924613
7,0.611959884929657,80.08,98.37028824833702
8,0.5654095168113709,81.93,98.9578713968958
9,0.5382490026950836,82.80999999999999,99.07982261640798
10,0.5089223202228547,83.95,99.21286031042129
