round,client_i,client_j,cosine_similarity
1,0,1,0.3340823089976099
1,0,2,0.31030907588370876
1,0,3,0.48840553674444087
1,0,4,0.09430820661052478
1,0,5,1.0
1,0,6,1.0
1,1,2,0.39672491861731185
1,1,3,0.7133430175812419
1,1,4,0.2693004975118175
1,1,5,0.3340823089976099
1,1,6,0.3340823089976099
1,2,3,0.32476449960007453
1,2,4,0.18857978885658172
1,2,5,0.31030907588370876
1,2,6,0.31030907588370876
1,3,4,0.02744579924459463
1,3,5,0.48840553674444087
1,3,6,0.48840553674444087
1,4,5,0.09430820661052478
1,4,6,0.09430820661052478
1,5,6,1.0
2,0,1,0.2467822104743307
2,0,2,0.2611989253725319
2,0,3,0.3988165262989616
2,0,4,0.06396347479379881
2,0,5,1.0
2,0,6,1.0
2,1,2,0.45956742011895685
2,1,3,0.763516731998916
2,1,4,0.2907213370680446
2,1,5,0.2467822104743307
2,1,6,0.2467822104743307
2,2,3,0.4303314445679606
2,2,4,0.18877183647576468
2,2,5,0.2611989253725319
2,2,6,0.2611989253725319
2,3,4,0.025287111228630754
2,3,5,0.3988165262989616
2,3,6,0.3988165262989616
2,4,5,0.06396347479379881
2,4,6,0.06396347479379881
2,5,6,1.0
3,0,1,0.11600534918274674
3,0,2,0.14282636405317894
3,0,3,0.2578576379890818
3,0,4,0.014729596236585006
3,0,5,1.0
3,0,6,1.0
3,1,2,0.3774864191508598
3,1,3,0.7542733039594909
3,1,4,0.24542585559900582
3,1,5,0.11600534918274674
3,1,6,0.11600534918274674
3,2,3,0.3556497010357605
3,2,4,0.1328567849392298
3,2,5,0.14282636405317894
3,2,6,0.14282636405317894
3,3,4,-0.021314390760639478
3,3,5,0.2578576379890818
3,3,6,0.2578576379890818
3,4,5,0.014729596236585006
3,4,6,0.014729596236585006
3,5,6,1.0
4,0,1,0.020427794591650027
4,0,2,0.052600217134531536
4,0,3,0.17480620748031805
4,0,4,-0.032525194212313736
4,0,5,1.0
4,0,6,1.0
4,1,2,0.3119060396889727
4,1,3,0.7355181157512385
4,1,4,0.15520013273293576
4,1,5,0.020427794591650027
4,1,6,0.020427794591650027
4,2,3,0.2582366534209635
4,2,4,0.052194956301584786
4,2,5,0.052600217134531536
4,2,6,0.052600217134531536
4,3,4,-0.11245796312696976
4,3,5,0.17480620748031805
4,3,6,0.17480620748031805
4,4,5,-0.032525194212313736
4,4,6,-0.032525194212313736
4,5,6,1.0
5,0,1,-0.03632362637599634
5,0,2,-0.011678788022947625
5,0,3,0.13083420363445664
5,0,4,-0.058462549500242024
5,0,5,1.0
5,0,6,1.0
5,1,2,0.2442078290195589
5,1,3,0.7039778146279724
5,1,4,0.059490035380480734
5,1,5,-0.03632362637599634
5,1,6,-0.03632362637599634
5,2,3,0.198975027631228
5,2,4,-0.0022657226397661996
5,2,5,-0.011678788022947625
5,2,6,-0.011678788022947625
5,3,4,-0.22213853573000036
5,3,5,0.13083420363445664
5,3,6,0.13083420363445664
5,4,5,-0.058462549500242024
5,4,6,-0.058462549500242024
5,5,6,1.0
6,0,1,-0.091320204960529
6,0,2,-0.045026122942672345
6,0,3,0.09024193736952964
6,0,4,-0.07497043268246122
6,0,5,1.0
6,0,6,1.0
6,1,2,0.16670849016149825
6,1,3,0.6877815261544327
6,1,4,-0.009902777339116563
6,1,5,-0.091320204960529
6,1,6,-0.091320204960529
6,2,3,0.13321660393440068
6,2,4,-0.05470288291745272
6,2,5,-0.045026122942672345
6,2,6,-0.045026122942672345
6,3,4,-0.2742330052125383
6,3,5,0.09024193736952964
6,3,6,0.09024193736952964
6,4,5,-0.07497043268246122
6,4,6,-0.07497043268246122
6,5,6,1.0
7,0,1,-0.1272033886490893
7,0,2,-0.06438319190750676
7,0,3,0.08544579213484672
7,0,4,-0.10514819123811278
7,0,5,1.0
7,0,6,1.0
7,1,2,0.15291973198318212
7,1,3,0.6670548476827469
7,1,4,-0.10710180081610449
7,1,5,-0.1272033886490893
7,1,6,-0.1272033886490893
7,2,3,0.08513349581664195
7,2,4,-0.10789167067474179
7,2,5,-0.06438319190750676
7,2,6,-0.06438319190750676
7,3,4,-0.3723689099759414
7,3,5,0.08544579213484672
7,3,6,0.08544579213484672
7,4,5,-0.10514819123811278
7,4,6,-0.10514819123811278
7,5,6,1.0
8,0,1,-0.15899801908986394
8,0,2,-0.08053116993614241
8,0,3,0.07543173572009976
8,0,4,-0.10134591153311219
8,0,5,1.0
8,0,6,1.0
8,1,2,0.09509966385474103
8,1,3,0.6608361746610447
8,1,4,-0.15919641762199227
8,1,5,-0.15899801908986394
8,1,6,-0.15899801908986394
8,2,3,0.029330610981757543
8,2,4,-0.123192229879352
8,2,5,-0.08053116993614241
8,2,6,-0.08053116993614241
8,3,4,-0.4416364711048121
8,3,5,0.07543173572009976
8,3,6,0.07543173572009976
8,4,5,-0.10134591153311219
8,4,6,-0.10134591153311219
8,5,6,1.0
9,0,1,-0.17811060569597192
9,0,2,-0.12562463405572874
9,0,3,0.030245233305997876
9,0,4,-0.10665583575850066
9,0,5,1.0
9,0,6,1.0
9,1,2,0.05518522434249279
9,1,3,0.648116539151725
9,1,4,-0.17671005196848694
9,1,5,-0.17811060569597192
9,1,6,-0.17811060569597192
9,2,3,0.024872005762622305
9,2,4,-0.1476106386308874
9,2,5,-0.12562463405572874
9,2,6,-0.12562463405572874
9,3,4,-0.4486660362047063
9,3,5,0.030245233305997876
9,3,6,0.030245233305997876
9,4,5,-0.10665583575850066
9,4,6,-0.10665583575850066
9,5,6,1.0
10,0,1,-0.22188303632704595
10,0,2,-0.1284619276055789
10,0,3,0.015812023531742797
10,0,4,-0.12585486239274973
10,0,5,1.0
10,0,6,1.0
10,1,2,0.005206774191287267
10,1,3,0.6229161662531396
10,1,4,-0.20151457304863185
10,1,5,-0.22188303632704595
10,1,6,-0.22188303632704595
10,2,3,-0.01172517507805896
10,2,4,-0.14549570483474578
10,2,5,-0.1284619276055789
10,2,6,-0.1284619276055789
10,3,4,-0.47426856933267464
10,3,5,0.015812023531742797
10,3,6,0.015812023531742797
10,4,5,-0.12585486239274973
10,4,6,-0.12585486239274973
10,5,6,1.0
