round,client_i,client_j,cosine_similarity
1,0,1,0.6244253872678568
1,0,2,0.3183831864993506
1,0,3,0.1641826438132142
1,0,4,0.16278769159611783
1,0,5,1.0
1,0,6,1.0
1,1,2,0.24857851442885773
1,1,3,0.40062357614223126
1,1,4,0.22301508033627943
1,1,5,0.6244253872678568
1,1,6,0.6244253872678568
1,2,3,0.368531030973694
1,2,4,0.3157404440915006
1,2,5,0.3183831864993506
1,2,6,0.3183831864993506
1,3,4,0.30372195901272636
1,3,5,0.1641826438132142
1,3,6,0.1641826438132142
1,4,5,0.16278769159611783
1,4,6,0.16278769159611783
1,5,6,1.0
2,0,1,0.6558068550442278
2,0,2,0.505549744468513
2,0,3,0.22735029539467227
2,0,4,0.2091174472913365
2,0,5,0.9999999999999998
2,0,6,0.9999999999999998
2,1,2,0.3401063407598189
2,1,3,0.30746689241649144
2,1,4,0.2767907910601502
2,1,5,0.6558068550442278
2,1,6,0.6558068550442278
2,2,3,0.40479889783090617
2,2,4,0.377409038758925
2,2,5,0.505549744468513
2,2,6,0.505549744468513
2,3,4,0.3463850779672536
2,3,5,0.22735029539467227
2,3,6,0.22735029539467227
2,4,5,0.2091174472913365
2,4,6,0.2091174472913365
2,5,6,0.9999999999999998
3,0,1,0.5847599191538212
3,0,2,0.5241348833178389
3,0,3,0.15472290672343506
3,0,4,0.16294196405760009
3,0,5,1.0
3,0,6,1.0
3,1,2,0.24545026649670132
3,1,3,0.10436408870805505
3,1,4,0.20211991525653972
3,1,5,0.5847599191538212
3,1,6,0.5847599191538212
3,2,3,0.32727704325498974
3,2,4,0.34462502013969537
3,2,5,0.5241348833178389
3,2,6,0.5241348833178389
3,3,4,0.27302465396457376
3,3,5,0.15472290672343506
3,3,6,0.15472290672343506
3,4,5,0.16294196405760009
3,4,6,0.16294196405760009
3,5,6,1.0
4,0,1,0.4923142771875265
4,0,2,0.5015368620366205
4,0,3,0.05978202698760115
4,0,4,0.09424763151086364
4,0,5,1.0
4,0,6,1.0
4,1,2,0.15346975142772035
4,1,3,-0.03505830845756143
4,1,4,0.14479580861164618
4,1,5,0.4923142771875265
4,1,6,0.4923142771875265
4,2,3,0.25299171694240485
4,2,4,0.3000574605921195
4,2,5,0.5015368620366205
4,2,6,0.5015368620366205
4,3,4,0.19044801020815824
4,3,5,0.05978202698760115
4,3,6,0.05978202698760115
