round,clean_loss,clean_accuracy_percent,asr_percent
1,1.8294741058349608,47.85,0.0
2,1.380336389350891,51.9,0.011086474501108647
3,1.0662365665435791,62.019999999999996,0.05543237250554324
4,0.8700108715057373,69.25,0.17738359201773835
5,0.7192031730651856,75.73,0.4101995565410199
6,0.6361411853790283,78.97,0.4434589800443459
7,0.5713951224803925,81.43,0.45454545454545453
8,0.5212220385551453,83.64,0.5210643015521065
9,0.4941781541109085,84.55,0.532150776053215
10,0.47069326474666595,85.22999999999999,0.5543237250554324
