round,client_i,client_j,cosine_similarity
1,0,1,0.3340823089976099
1,0,2,0.31030907588370876
1,0,3,0.48840553674444087
1,0,4,0.09430820661052478
1,0,5,0.9988246985179318
1,0,6,0.9989952644107958
1,1,2,0.39672491861731185
1,1,3,0.7133430175812419
1,1,4,0.2693004975118175
1,1,5,0.3377633446124773
1,1,6,0.33498449930545476
1,2,3,0.32476449960007453
1,2,4,0.18857978885658172
1,2,5,0.31341501024712426
1,2,6,0.31332337226551277
1,3,4,0.02744579924459463
1,3,5,0.4893707878853859
1,3,6,0.48762376874591307
1,4,5,0.09423231427000532
1,4,6,0.09288871683771564
1,5,6,0.9987919204496356
2,0,1,0.22296415314179374
2,0,2,0.22654422979799907
2,0,3,0.35988030978471874
2,0,4,0.028333807581900676
2,0,5,0.999497829145672
2,0,6,0.9995616171500841
2,1,2,0.4861102972729706
2,1,3,0.7627880251655738
2,1,4,0.3308629497967539
2,1,5,0.21922033548021064
2,1,6,0.2228943579254441
2,2,3,0.44240509600247035
2,2,4,0.21010798091620894
2,2,5,0.22434920073820638
2,2,6,0.22453813893812452
2,3,4,0.05561626704151722
2,3,5,0.357106387385915
2,3,6,0.358898296673496
2,4,5,0.030964318117056695
2,4,6,0.02891500957474654
2,5,6,0.9995857952141632
3,0,1,0.09266429195855921
3,0,2,0.10417549640345715
3,0,3,0.20673224911210036
3,0,4,-0.027815185962142643
3,0,5,0.9980933050451863
3,0,6,0.9990923337898393
3,1,2,0.4625579426574812
3,1,3,0.758264975584779
3,1,4,0.3518631605314666
3,1,5,0.09700391010224374
3,1,6,0.09107618301085349
3,2,3,0.4256125081603245
3,2,4,0.1953311044658443
3,2,5,0.09300245061777121
3,2,6,0.09614543791473285
3,3,4,0.07145539674992112
3,3,5,0.2155855296212269
3,3,6,0.20893811686984234
3,4,5,-0.02935772539076744
3,4,6,-0.028770202927575594
3,5,6,0.9990040587562938
4,0,1,-0.014598248212164443
4,0,2,0.00420592612671427
4,0,3,0.0993305585523048
4,0,4,-0.06960411249185132
4,0,5,0.998557763776509
4,0,6,0.9993627192851435
4,1,2,0.43737599003112315
4,1,3,0.7472533146815922
4,1,4,0.34662465148676525
4,1,5,-0.00530276999335794
4,1,6,-0.013680160273289372
4,2,3,0.37487613775205125
4,2,4,0.16627678293743092
4,2,5,0.001124839719366326
4,2,6,0.008755098037143791
4,3,4,0.06430550550206665
4,3,5,0.10943537480695292
4,3,6,0.1007884475491623
4,4,5,-0.07522555909686202
4,4,6,-0.0680051439004534
4,5,6,0.9987216127555201
5,0,1,-0.09381712934432253
5,0,2,-0.08850030095500366
5,0,3,0.022050483505575855
5,0,4,-0.10320429293616923
5,0,5,0.9980282114988732
5,0,6,0.9984284233272886
5,1,2,0.40716624467852447
5,1,3,0.7304181046664595
5,1,4,0.32781632537015604
5,1,5,-0.10275698722449872
5,1,6,-0.10124318836880251
5,2,3,0.346559012995361
5,2,4,0.14675004942230635
5,2,5,-0.07904096731054987
5,2,6,-0.08564766395208112
5,3,4,0.03528367217003597
5,3,5,0.011686094299347069
5,3,6,0.014753966891409492
5,4,5,-0.09727517902834505
5,4,6,-0.09402615557505056
5,5,6,0.9983585567144488
6,0,1,-0.17757292559829058
6,0,2,-0.14529060944482483
6,0,3,-0.06001526893766174
6,0,4,-0.1316839523690424
6,0,5,0.9980576767331423
6,0,6,0.998454464180985
6,1,2,0.3771330643251491
6,1,3,0.7267787501606342
6,1,4,0.31041230191087554
6,1,5,-0.1646816606958212
6,1,6,-0.17995076313705244
6,2,3,0.31135327568342497
6,2,4,0.12875033238513897
6,2,5,-0.14999104597092702
6,2,6,-0.14742358092502383
6,3,4,0.02419812650952726
6,3,5,-0.04757294198629519
6,3,6,-0.06329102015945612
6,4,5,-0.1444941814144229
6,4,6,-0.1331301645447858
6,5,6,0.9977939678649032
7,0,1,-0.2385946514573274
7,0,2,-0.1836224591556055
7,0,3,-0.10645519869174808
7,0,4,-0.1750179409804704
7,0,5,0.9977770896618657
7,0,6,0.9979339809643349
7,1,2,0.37222651258940265
7,1,3,0.7178831554654403
7,1,4,0.2640400441275147
7,1,5,-0.23595483913000548
7,1,6,-0.22841508004956845
7,2,3,0.2740094335751204
7,2,4,0.10742108810723892
7,2,5,-0.19761662406208835
7,2,6,-0.1930747536500724
7,3,4,-0.029688088255357084
7,3,5,-0.10518919075940086
7,3,6,-0.09573183528203105
7,4,5,-0.17414671124652514
7,4,6,-0.1833564282255805
7,5,6,0.9979189709451493
8,0,1,-0.3003448594822277
8,0,2,-0.2273475570581989
8,0,3,-0.15033705280853507
8,0,4,-0.1810772160079202
8,0,5,0.9978541553385766
8,0,6,0.9979070436999689
8,1,2,0.3453368263045302
8,1,3,0.7157813819836283
8,1,4,0.2323950042476207
8,1,5,-0.2922972524207967
8,1,6,-0.30858011804429053
8,2,3,0.23378328196692805
8,2,4,0.0957303800155634
8,2,5,-0.23166211328412706
8,2,6,-0.22127532278363052
8,3,4,-0.08783532248621545
8,3,5,-0.14334843078844134
8,3,6,-0.15828525974880728
8,4,5,-0.19338815085990954
8,4,6,-0.1789528742235885
8,5,6,0.9978229122987539
9,0,1,-0.325503117362408
9,0,2,-0.2818830601113801
9,0,3,-0.21743707850297161
9,0,4,-0.20743963730431908
9,0,5,0.9945085568632632
9,0,6,0.9959774528561676
9,1,2,0.32889231806530866
9,1,3,0.7177443317953915
9,1,4,0.21355297942222565
9,1,5,-0.35205415731543244
9,1,6,-0.3384460465650049
9,2,3,0.2511431617466021
9,2,4,0.08243647553677985
9,2,5,-0.28061940151663506
9,2,6,-0.2855915040074317
9,3,4,-0.07888807155840533
9,3,5,-0.23515805111549326
9,3,6,-0.22846870281519993
9,4,5,-0.1867361071598346
9,4,6,-0.19176906580280495
9,5,6,0.9956365537983746
10,0,1,-0.3955196099200856
10,0,2,-0.29245720210388404
10,0,3,-0.2627428654434453
10,0,4,-0.23009563616991596
10,0,5,0.9962412287885125
10,0,6,0.9963688361532318
10,1,2,0.31083573538709763
10,1,3,0.7018036478767683
10,1,4,0.1966969511450406
10,1,5,-0.3756475749991459
10,1,6,-0.3926489039572691
10,2,3,0.2329566828068403
10,2,4,0.08897104638946202
10,2,5,-0.3109871668876548
10,2,6,-0.28861930199665237
10,3,4,-0.1059287126187443
10,3,5,-0.23814743817792694
10,3,6,-0.2619009380217898
10,4,5,-0.24242585267313005
10,4,6,-0.23483982343756155
10,5,6,0.9947263060962988
