round,client_i,client_j,cosine_similarity,pair_type
1,0,1,0.3340823089976099,sybil_honest
1,0,2,0.31030907588370876,sybil_honest
1,0,3,0.48840553674444087,sybil_honest
1,0,4,0.09430820661052478,sybil_honest
1,0,5,0.9988246985179318,sybil_sybil
1,0,6,0.9989952644107958,sybil_sybil
1,1,2,0.39672491861731185,honest_honest
1,1,3,0.7133430175812419,honest_honest
1,1,4,0.2693004975118175,honest_honest
1,1,5,0.3377633446124773,sybil_honest
1,1,6,0.33498449930545476,sybil_honest
1,2,3,0.32476449960007453,honest_honest
1,2,4,0.18857978885658172,honest_honest
1,2,5,0.31341501024712426,sybil_honest
1,2,6,0.31332337226551277,sybil_honest
1,3,4,0.02744579924459463,honest_honest
1,3,5,0.4893707878853859,sybil_honest
1,3,6,0.48762376874591307,sybil_honest
1,4,5,0.09423231427000532,sybil_honest
1,4,6,0.09288871683771564,sybil_honest
1,5,6,0.9987919204496356,sybil_sybil
2,0,1,0.22296415314179374,sybil_honest
2,0,2,0.22654422979799907,sybil_honest
2,0,3,0.35988030978471874,sybil_honest
2,0,4,0.028333807581900676,sybil_honest
2,0,5,0.999497829145672,sybil_sybil
2,0,6,0.9995616171500841,sybil_sybil
2,1,2,0.4861102972729706,honest_honest
2,1,3,0.7627880251655738,honest_honest
2,1,4,0.3308629497967539,honest_honest
2,1,5,0.21922033548021064,sybil_honest
2,1,6,0.2228943579254441,sybil_honest
2,2,3,0.44240509600247035,honest_honest
2,2,4,0.21010798091620894,honest_honest
2,2,5,0.22434920073820638,sybil_honest
2,2,6,0.22453813893812452,sybil_honest
2,3,4,0.05561626704151722,honest_honest
2,3,5,0.357106387385915,sybil_honest
2,3,6,0.358898296673496,sybil_honest
2,4,5,0.030964318117056695,sybil_honest
2,4,6,0.02891500957474654,sybil_honest
2,5,6,0.9995857952141632,sybil_sybil
3,0,1,0.09266429195855921,sybil_honest
3,0,2,0.10417549640345715,sybil_honest
3,0,3,0.20673224911210036,sybil_honest
3,0,4,-0.027815185962142643,sybil_honest
3,0,5,0.9980933050451863,sybil_sybil
3,0,6,0.9990923337898393,sybil_sybil
3,1,2,0.4625579426574812,honest_honest
3,1,3,0.758264975584779,honest_honest
3,1,4,0.3518631605314666,honest_honest
3,1,5,0.09700391010224374,sybil_honest
3,1,6,0.09107618301085349,sybil_honest
3,2,3,0.4256125081603245,honest_honest
3,2,4,0.1953311044658443,honest_honest
3,2,5,0.09300245061777121,sybil_honest
3,2,6,0.09614543791473285,sybil_honest
3,3,4,0.07145539674992112,honest_honest
3,3,5,0.2155855296212269,sybil_honest
3,3,6,0.20893811686984234,sybil_honest
3,4,5,-0.02935772539076744,sybil_honest
3,4,6,-0.028770202927575594,sybil_honest
3,5,6,0.9990040587562938,sybil_sybil
4,0,1,-0.014598248212164443,sybil_honest
4,0,2,0.00420592612671427,sybil_honest
4,0,3,0.0993305585523048,sybil_honest
4,0,4,-0.06960411249185132,sybil_honest
4,0,5,0.998557763776509,sybil_sybil
4,0,6,0.9993627192851435,sybil_sybil
4,1,2,0.43737599003112315,honest_honest
4,1,3,0.7472533146815922,honest_honest
4,1,4,0.34662465148676525,honest_honest
4,1,5,-0.00530276999335794,sybil_honest
4,1,6,-0.013680160273289372,sybil_honest
4,2,3,0.37487613775205125,honest_honest
4,2,4,0.16627678293743092,honest_honest
4,2,5,0.001124839719366326,sybil_honest
4,2,6,0.008755098037143791,sybil_honest
4,3,4,0.06430550550206665,honest_honest
4,3,5,0.10943537480695292,sybil_honest
4,3,6,0.1007884475491623,sybil_honest
4,4,5,-0.07522555909686202,sybil_honest
4,4,6,-0.0680051439004534,sybil_honest
4,5,6,0.9987216127555201,sybil_sybil
5,0,1,-0.09381712934432253,sybil_honest
5,0,2,-0.08850030095500366,sybil_honest
5,0,3,0.022050483505575855,sybil_honest
5,0,4,-0.10320429293616923,sybil_honest
5,0,5,0.9980282114988732,sybil_sybil
5,0,6,0.9984284233272886,sybil_sybil
5,1,2,0.40716624467852447,honest_honest
5,1,3,0.7304181046664595,honest_honest
5,1,4,0.32781632537015604,honest_honest
5,1,5,-0.10275698722449872,sybil_honest
5,1,6,-0.10124318836880251,sybil_honest
5,2,3,0.346559012995361,honest_honest
5,2,4,0.14675004942230635,honest_honest
5,2,5,-0.07904096731054987,sybil_honest
5,2,6,-0.08564766395208112,sybil_honest
5,3,4,0.03528367217003597,honest_honest
5,3,5,0.011686094299347069,sybil_honest
5,3,6,0.014753966891409492,sybil_honest
5,4,5,-0.09727517902834505,sybil_honest
5,4,6,-0.09402615557505056,sybil_honest
5,5,6,0.9983585567144488,sybil_sybil
6,0,1,-0.17757292559829058,sybil_honest
6,0,2,-0.14529060944482483,sybil_honest
6,0,3,-0.06001526893766174,sybil_honest
6,0,4,-0.1316839523690424,sybil_honest
6,0,5,0.9980576767331423,sybil_sybil
6,0,6,0.998454464180985,sybil_sybil
6,1,2,0.3771330643251491,honest_honest
6,1,3,0.7267787501606342,honest_honest
6,1,4,0.31041230191087554,honest_honest
6,1,5,-0.1646816606958212,sybil_honest
6,1,6,-0.17995076313705244,sybil_honest
6,2,3,0.31135327568342497,honest_honest
6,2,4,0.12875033238513897,honest_honest
6,2,5,-0.14999104597092702,sybil_honest
6,2,6,-0.14742358092502383,sybil_honest
6,3,4,0.02419812650952726,honest_honest
6,3,5,-0.04757294198629519,sybil_honest
6,3,6,-0.06329102015945612,sybil_honest
6,4,5,-0.1444941814144229,sybil_honest
6,4,6,-0.1331301645447858,sybil_honest
6,5,6,0.9977939678649032,sybil_sybil
7,0,1,-0.2385946514573274,sybil_honest
7,0,2,-0.1836224591556055,sybil_honest
7,0,3,-0.10645519869174808,sybil_honest
7,0,4,-0.1750179409804704,sybil_honest
7,0,5,0.9977770896618657,sybil_sybil
7,0,6,0.9979339809643349,sybil_sybil
7,1,2,0.37222651258940265,honest_honest
7,1,3,0.7178831554654403,honest_honest
7,1,4,0.2640400441275147,honest_honest
7,1,5,-0.23595483913000548,sybil_honest
7,1,6,-0.22841508004956845,sybil_honest
7,2,3,0.2740094335751204,honest_honest
7,2,4,0.10742108810723892,honest_honest
7,2,5,-0.19761662406208835,sybil_honest
7,2,6,-0.1930747536500724,sybil_honest
7,3,4,-0.029688088255357084,honest_honest
7,3,5,-0.10518919075940086,sybil_honest
7,3,6,-0.09573183528203105,sybil_honest
7,4,5,-0.17414671124652514,sybil_honest
7,4,6,-0.1833564282255805,sybil_honest
7,5,6,0.9979189709451493,sybil_sybil
8,0,1,-0.3003448594822277,sybil_honest
8,0,2,-0.2273475570581989,sybil_honest
8,0,3,-0.15033705280853507,sybil_honest
8,0,4,-0.1810772160079202,sybil_honest
8,0,5,0.9978541553385766,sybil_sybil
8,0,6,0.9979070436999689,sybil_sybil
8,1,2,0.3453368263045302,honest_honest
8,1,3,0.7157813819836283,honest_honest
8,1,4,0.2323950042476207,honest_honest
8,1,5,-0.2922972524207967,sybil_honest
8,1,6,-0.30858011804429053,sybil_honest
8,2,3,0.23378328196692805,honest_honest
8,2,4,0.0957303800155634,honest_honest
8,2,5,-0.23166211328412706,sybil_honest
8,2,6,-0.22127532278363052,sybil_honest
8,3,4,-0.08783532248621545,honest_honest
8,3,5,-0.14334843078844134,sybil_honest
8,3,6,-0.15828525974880728,sybil_honest
8,4,5,-0.19338815085990954,sybil_honest
8,4,6,-0.1789528742235885,sybil_honest
8,5,6,0.9978229122987539,sybil_sybil
9,0,1,-0.325503117362408,sybil_honest
9,0,2,-0.2818830601113801,sybil_honest
9,0,3,-0.21743707850297161,sybil_honest
9,0,4,-0.20743963730431908,sybil_honest
9,0,5,0.9945085568632632,sybil_sybil
9,0,6,0.9959774528561676,sybil_sybil
9,1,2,0.32889231806530866,honest_honest
9,1,3,0.7177443317953915,honest_honest
9,1,4,0.21355297942222565,honest_honest
9,1,5,-0.35205415731543244,sybil_honest
9,1,6,-0.3384460465650049,sybil_honest
9,2,3,0.2511431617466021,honest_honest
9,2,4,0.08243647553677985,honest_honest
9,2,5,-0.28061940151663506,sybil_honest
9,2,6,-0.2855915040074317,sybil_honest
9,3,4,-0.07888807155840533,honest_honest
9,3,5,-0.23515805111549326,sybil_honest
9,3,6,-0.22846870281519993,sybil_honest
9,4,5,-0.1867361071598346,sybil_honest
9,4,6,-0.19176906580280495,sybil_honest
9,5,6,0.9956365537983746,sybil_sybil
10,0,1,-0.3955196099200856,sybil_honest
10,0,2,-0.29245720210388404,sybil_honest
10,0,3,-0.2627428654434453,sybil_honest
10,0,4,-0.23009563616991596,sybil_honest
10,0,5,0.9962412287885125,sybil_sybil
10,0,6,0.9963688361532318,sybil_sybil
10,1,2,0.31083573538709763,honest_honest
10,1,3,0.7018036478767683,honest_honest
10,1,4,0.1966969511450406,honest_honest
10,1,5,-0.3756475749991459,sybil_honest
10,1,6,-0.3926489039572691,sybil_honest
10,2,3,0.2329566828068403,honest_honest
10,2,4,0.08897104638946202,honest_honest
10,2,5,-0.3109871668876548,sybil_honest
10,2,6,-0.28861930199665237,sybil_honest
10,3,4,-0.1059287126187443,honest_honest
10,3,5,-0.23814743817792694,sybil_honest
10,3,6,-0.2619009380217898,sybil_honest
10,4,5,-0.24242585267313005,sybil_honest
10,4,6,-0.23483982343756155,sybil_honest
10,5,6,0.9947263060962988,sybil_sybil
