round,client_i,client_j,cosine_similarity
1,0,1,0.38728250873747977
1,0,2,0.3622241892806012
1,0,3,0.5506127799345182
1,0,4,0.11293617179189842
1,0,5,0.9987881878722009
1,0,6,0.9990645861190028
1,1,2,0.39672491861731185
1,1,3,0.7133430175812419
1,1,4,0.2693004975118175
1,1,5,0.3872661137877219
1,1,6,0.38773692753852473
1,2,3,0.32476449960007453
1,2,4,0.18857978885658172
1,2,5,0.365390158195979
1,2,6,0.36454002242837397
1,3,4,0.02744579924459463
1,3,5,0.5479402709498825
1,3,6,0.5479356075997556
1,4,5,0.11169704270074153
1,4,6,0.11276832688691042
1,5,6,0.9987388701505279
2,0,1,0.29138700351398944
2,0,2,0.2899565754516697
2,0,3,0.4633080130018463
2,0,4,0.03508664940533139
2,0,5,0.9993694175771879
2,0,6,0.9994593157511797
2,1,2,0.4841254032823322
2,1,3,0.7610687498767611
2,1,4,0.3361875629777342
2,1,5,0.2879907406968932
2,1,6,0.2937194095726289
2,2,3,0.43760594464865343
2,2,4,0.20992057806389997
2,2,5,0.2871093742733975
2,2,6,0.2850049510897952
2,3,4,0.05720187621884856
2,3,5,0.4612483898287431
2,3,6,0.4652514254471455
2,4,5,0.03861976667241644
2,4,6,0.03535802916249542
2,5,6,0.999426527140995
3,0,1,0.12871926025987937
3,0,2,0.1458041108357955
3,0,3,0.2847680932476685
3,0,4,-0.028921611291902894
3,0,5,0.9971814647335895
3,0,6,0.9987964690214124
3,1,2,0.45751067043931093
3,1,3,0.7520298995357015
3,1,4,0.3638620759059723
3,1,5,0.13476371703709109
3,1,6,0.1291078439526492
3,2,3,0.41601042885109396
3,2,4,0.1996392414185624
3,2,5,0.13052116505866201
3,2,6,0.13816706125562664
3,3,4,0.07851845267673581
3,3,5,0.29617144045807187
3,3,6,0.289369634621094
3,4,5,-0.03261680143514405
3,4,6,-0.032941824387545816
3,5,6,0.9987130121022437
4,0,1,0.0013765081705713056
4,0,2,0.018162943103408775
4,0,3,0.15398587941977057
4,0,4,-0.09013834003923656
4,0,5,0.9975876858678813
4,0,6,0.9989189637768625
4,1,2,0.4326850081008915
4,1,3,0.7406837313473336
4,1,4,0.3617022962079069
4,1,5,0.010796630639873725
4,1,6,-4.36325160813808e-05
4,2,3,0.3635121139166302
4,2,4,0.17268309376177948
4,2,5,0.01296402735798581
4,2,6,0.023658173394780636
4,3,4,0.07374729820523951
4,3,5,0.16150428378621295
4,3,6,0.1499129532040276
4,4,5,-0.09514434876226116
4,4,6,-0.08590193000403784
4,5,6,0.9980924287046933
5,0,1,-0.10172478897436765
5,0,2,-0.09668384864652795
5,0,3,0.047291389328759544
5,0,4,-0.12438036618217732
5,0,5,0.9976851597494545
5,0,6,0.9980806362584493
5,1,2,0.40322909282378094
5,1,3,0.7230773599759135
5,1,4,0.3464805083100819
5,1,5,-0.11272849022555363
5,1,6,-0.10754912225382313
5,2,3,0.3347290355769892
5,2,4,0.15493940886559854
5,2,5,-0.08684581500585539
5,2,6,-0.0922530620340542
5,3,4,0.04672633351715401
5,3,5,0.03723276680986166
5,3,6,0.04229316513717648
5,4,5,-0.11982303867698904
5,4,6,-0.11756557693546232
5,5,6,0.9973783558267415
6,0,1,-0.192545696118005
6,0,2,-0.16875743553920108
6,0,3,-0.04856759396785804
6,0,4,-0.16527317753643875
6,0,5,0.9981698170745663
6,0,6,0.9978067011555312
6,1,2,0.37373956110786755
6,1,3,0.7211331147753589
6,1,4,0.3306858862153056
6,1,5,-0.18752738345429268
6,1,6,-0.19750047915371508
6,2,3,0.2990526524541507
6,2,4,0.1383178062069439
6,2,5,-0.16853174751168462
6,2,6,-0.16887113351222693
6,3,4,0.03662273924291565
6,3,5,-0.043656841855890416
6,3,6,-0.05780042313856863
6,4,5,-0.17145741592602906
6,4,6,-0.16062366066888853
6,5,6,0.9974084736303286
7,0,1,-0.2512702484599463
7,0,2,-0.2110523354970455
7,0,3,-0.09659847952295826
7,0,4,-0.21463606313115308
7,0,5,0.996735270182497
7,0,6,0.9967006778486758
7,1,2,0.3701448679118489
7,1,3,0.7125726181283751
7,1,4,0.2846983445796956
7,1,5,-0.2677870426848076
7,1,6,-0.24534133018198956
7,2,3,0.26524507096821853
7,2,4,0.11839596215308926
7,2,5,-0.2173826275626278
7,2,6,-0.21951260281029528
7,3,4,-0.01631246327388014
7,3,5,-0.11723004453953335
7,3,6,-0.09718218171915309
7,4,5,-0.1968028771147067
7,4,6,-0.21642754921004564
7,5,6,0.9957904554043077
8,0,1,-0.31942061377493736
8,0,2,-0.2601838068381966
8,0,3,-0.1515881023771707
8,0,4,-0.20838224178927683
8,0,5,0.9963022792843407
8,0,6,0.9949169396885796
8,1,2,0.34329208594307165
8,1,3,0.7113727334305797
8,1,4,0.25399298702643547
8,1,5,-0.3135334500635073
8,1,6,-0.3396619483841868
8,2,3,0.2224573644430995
8,2,4,0.10860908102859407
8,2,5,-0.25614595845289334
8,2,6,-0.24166821639195232
8,3,4,-0.07609909194707551
8,3,5,-0.1466547160705281
8,3,6,-0.1737204345488925
8,4,5,-0.22385739615483485
8,4,6,-0.19948946461957281
8,5,6,0.9958185824442058
9,0,1,-0.3522346172815818
9,0,2,-0.30415279287164304
9,0,3,-0.2425995955052805
9,0,4,-0.23656585767182142
9,0,5,0.9921521001262859
9,0,6,0.9947301131036073
9,1,2,0.33202533280136237
9,1,3,0.71464256899249
9,1,4,0.23880871825786612
9,1,5,-0.3660810370353006
9,1,6,-0.3645027711928219
9,2,3,0.24850337250939583
9,2,4,0.09610877151536976
