round,clean_loss,clean_accuracy_percent,asr_percent
1,1.8149186214447022,43.39,2.8381374722838135
2,1.492925834274292,45.190000000000005,3.492239467849224
3,1.2466559707641602,52.76,3.4700665188470063
4,1.0658924947738648,60.089999999999996,3.1707317073170733
5,0.9397352081298828,65.96,2.893569844789357
6,0.8422495022773743,70.62,2.450110864745011
7,0.7711561294555664,74.16,2.2062084257206207
8,0.7248025387763977,76.13,2.0177383592017737
9,0.6821522763252258,77.84,1.862527716186253
10,0.6418762794971467,79.71000000000001,1.6740576496674056
