round,client_i,client_j,cosine_similarity,pair_type
1,0,1,0.6244253872678568,sybil_honest
1,0,2,0.3183831864993506,sybil_honest
1,0,3,0.1641826438132142,sybil_honest
1,0,4,0.16278769159611783,sybil_honest
1,0,5,0.997967826793282,sybil_sybil
1,0,6,0.9986224612374747,sybil_sybil
1,1,2,0.24857851442885773,honest_honest
1,1,3,0.40062357614223126,honest_honest
1,1,4,0.22301508033627943,honest_honest
1,1,5,0.6219591803887682,sybil_honest
1,1,6,0.6216549292721445,sybil_honest
1,2,3,0.368531030973694,honest_honest
1,2,4,0.3157404440915006,honest_honest
1,2,5,0.3173504369659002,sybil_honest
1,2,6,0.3183519355112776,sybil_honest
1,3,4,0.30372195901272636,honest_honest
1,3,5,0.16385654056264867,sybil_honest
1,3,6,0.16212740249882945,sybil_honest
1,4,5,0.1626937218401916,sybil_honest
1,4,6,0.16197181019989382,sybil_honest
1,5,6,0.9986418971722957,sybil_sybil
2,0,1,0.6358989448694823,sybil_honest
2,0,2,0.45715401939357153,sybil_honest
2,0,3,0.23942959213969994,sybil_honest
2,0,4,0.18938359918450934,sybil_honest
2,0,5,0.9994247356042759,sybil_sybil
2,0,6,0.9993798914643972,sybil_sybil
2,1,2,0.29853032408369823,honest_honest
2,1,3,0.34984829562868436,honest_honest
2,1,4,0.28147282502467896,honest_honest
2,1,5,0.6374160710723026,sybil_honest
2,1,6,0.6369269967369892,sybil_honest
2,2,3,0.44011804841537205,honest_honest
2,2,4,0.41497386389394486,honest_honest
2,2,5,0.4602472081071475,sybil_honest
2,2,6,0.460630487152817,sybil_honest
2,3,4,0.37992485694116246,honest_honest
2,3,5,0.2393540925094455,sybil_honest
2,3,6,0.24061203930910743,sybil_honest
2,4,5,0.18684216734012177,sybil_honest
2,4,6,0.18805575717202197,sybil_honest
2,5,6,0.9994523170956675,sybil_sybil
3,0,1,0.5439570555867724,sybil_honest
3,0,2,0.44122212261095073,sybil_honest
3,0,3,0.17254865781772763,sybil_honest
3,0,4,0.11657661613840858,sybil_honest
3,0,5,0.9988642457522497,sybil_sybil
3,0,6,0.9988367699458691,sybil_sybil
3,1,2,0.1924813613483167,honest_honest
3,1,3,0.20039099050915235,honest_honest
