round,clean_loss,clean_accuracy_percent,asr_percent
1,2.1657896438598634,41.660000000000004,8.481152993348115
2,2.180173059463501,44.54,5.022172949002218
3,2.0394645948410033,44.87,4.323725055432372
4,1.8709743728637696,45.49,4.58980044345898
5,1.7443271829605103,46.53,4.545454545454546
6,1.6412733139038085,48.44,4.0022172949002215
7,1.5707729591369628,50.07,3.6917960088691797
8,1.5265808902740479,51.61,3.835920177383592
9,1.4842989097595214,52.94,3.4478935698447892
10,1.4049875387191773,54.71,3.2261640798226168
