round,clean_loss,clean_accuracy_percent,asr_percent
1,1.8407731386184691,43.02,61.031042128603104
2,1.4278278421401978,48.26,68.81374722838137
3,1.1100612700462342,61.419999999999995,82.92682926829268
4,0.9007526039123536,71.53,88.88026607538802
5,0.7695338169097901,76.96,93.34811529933481
6,0.6797648165225982,80.03,95.05543237250555
7,0.6192321094036102,82.21000000000001,96.07538802660753
8,0.5809312228679657,83.39,97.13968957871397
9,0.5480870445728302,84.52,97.54988913525499
10,0.5203084228992462,85.46000000000001,97.77161862527716
