round,client,update_l2_norm
1,0,2.077019599821146
1,1,2.0443285442232173
1,2,2.0554474946796315
1,3,1.9573301102001557
1,4,2.0481857208788443
1,5,2.077019599821146
1,6,2.077019599821146
2,0,1.2189116206402226
2,1,1.6719797985167661
2,2,1.6182176208543062
2,3,1.4045547180274696
2,4,1.7612399279210713
2,5,1.2189116206402226
2,6,1.2189116206402226
3,0,0.7778634186266071
3,1,1.3037023646153671
3,2,1.2225738894135236
3,3,1.0272303671998897
3,4,1.4553840543709662
3,5,0.7778634186266071
3,6,0.7778634186266071
4,0,0.5984273092555907
4,1,1.0619909668011098
4,2,0.9951572963927483
4,3,0.8220591394567631
4,4,1.2167115024063195
4,5,0.5984273092555907
4,6,0.5984273092555907
5,0,0.516340593861913
5,1,0.902521253818202
5,2,0.8664962480849937
5,3,0.6873133076494131
5,4,1.0502870084479716
5,5,0.516340593861913
5,6,0.516340593861913
6,0,0.4662393578894398
6,1,0.7967019045566487
6,2,0.7797364398444826
6,3,0.6059870631444914
6,4,0.9402295192578438
6,5,0.4662393578894398
6,6,0.4662393578894398
7,0,0.4324758094671483
7,1,0.7276868135906572
7,2,0.7245420223538548
7,3,0.5611017877542784
7,4,0.8577905270532991
7,5,0.4324758094671483
7,6,0.4324758094671483
8,0,0.41594360253374496
8,1,0.6685679973452854
8,2,0.6757716772603155
8,3,0.5158936708819156
8,4,0.8071110662087894
8,5,0.41594360253374496
8,6,0.41594360253374496
9,0,0.3915640676914239
9,1,0.6247102833133689
9,2,0.6499714961149464
9,3,0.48234540575057955
9,4,0.7613929943570377
9,5,0.3915640676914239
9,6,0.3915640676914239
10,0,0.38399379503463116
10,1,0.6005467356828711
10,2,0.6178626771397071
10,3,0.47322013107440536
10,4,0.7421604236732485
10,5,0.38399379503463116
10,6,0.38399379503463116
