round,clean_loss,clean_accuracy_percent,asr_percent
1,1.8377610799789428,46.97,68.70288248337029
2,1.378883309364319,56.86,69.65631929046563
3,1.0767479068756103,64.36,83.12638580931264
4,0.8922276265144348,69.27,89.76718403547672
5,0.7452382411956787,74.61,94.55654101995566
6,0.6545927578449249,78.42,96.55210643015522
7,0.5944623849391937,80.82000000000001,97.63858093126386
8,0.550770727467537,82.46,98.54767184035477
9,0.5253069610118866,83.14,98.72505543237251
10,0.49745408301353455,84.38,98.9911308203991
