round,client_i,client_j,pair_type,cosine_similarity
1,0,1,sybil_honest,0.6244253872678568
1,0,2,sybil_honest,0.3183831864993506
1,0,3,sybil_honest,0.1641826438132142
1,0,4,sybil_honest,0.16278769159611783
1,0,5,sybil_sybil,1.0
1,0,6,sybil_sybil,1.0
1,1,2,honest_honest,0.24857851442885773
1,1,3,honest_honest,0.40062357614223126
1,1,4,honest_honest,0.22301508033627943
1,1,5,sybil_honest,0.6244253872678568
1,1,6,sybil_honest,0.6244253872678568
1,2,3,honest_honest,0.368531030973694
1,2,4,honest_honest,0.3157404440915006
1,2,5,sybil_honest,0.3183831864993506
1,2,6,sybil_honest,0.3183831864993506
1,3,4,honest_honest,0.30372195901272636
1,3,5,sybil_honest,0.1641826438132142
1,3,6,sybil_honest,0.1641826438132142
1,4,5,sybil_honest,0.16278769159611783
1,4,6,sybil_honest,0.16278769159611783
1,5,6,sybil_sybil,1.0
2,0,1,sybil_honest,0.6298860060648008
2,0,2,sybil_honest,0.4572956805160022
2,0,3,sybil_honest,0.23558506694857517
2,0,4,sybil_honest,0.18838156934785288
2,0,5,sybil_sybil,1.0
2,0,6,sybil_sybil,1.0
2,1,2,honest_honest,0.29145295135447663
2,1,3,honest_honest,0.3319628952469106
2,1,4,honest_honest,0.27477591812491564
2,1,5,sybil_honest,0.6298860060648008
2,1,6,sybil_honest,0.6298860060648008
2,2,3,honest_honest,0.4380858041964446
2,2,4,honest_honest,0.4168970327997794
2,2,5,sybil_honest,0.4572956805160022
2,2,6,sybil_honest,0.4572956805160022
2,3,4,honest_honest,0.3773348816054335
2,3,5,sybil_honest,0.23558506694857517
2,3,6,sybil_honest,0.23558506694857517
2,4,5,sybil_honest,0.18838156934785288
2,4,6,sybil_honest,0.18838156934785288
2,5,6,sybil_sybil,1.0
3,0,1,sybil_honest,0.5336866451758182
3,0,2,sybil_honest,0.4415192007723532
3,0,3,sybil_honest,0.15666704073713342
3,0,4,sybil_honest,0.10853412210790404
3,0,5,sybil_sybil,1.0
3,0,6,sybil_sybil,1.0
3,1,2,honest_honest,0.18197777780559027
3,1,3,honest_honest,0.1706413218500211
3,1,4,honest_honest,0.2118484184134684
3,1,5,sybil_honest,0.5336866451758182
3,1,6,sybil_honest,0.5336866451758182
3,2,3,honest_honest,0.39034850999436904
3,2,4,honest_honest,0.4176404608659424
3,2,5,sybil_honest,0.4415192007723532
3,2,6,sybil_honest,0.4415192007723532
3,3,4,honest_honest,0.3416832033878411
3,3,5,sybil_honest,0.15666704073713342
3,3,6,sybil_honest,0.15666704073713342
3,4,5,sybil_honest,0.10853412210790404
3,4,6,sybil_honest,0.10853412210790404
3,5,6,sybil_sybil,1.0
4,0,1,sybil_honest,0.42437069012423373
