setting,method,seed,round,group,expected_pairs,observed_pairs,cosine_mean,cosine_sample_sd,cosine_min,cosine_max,update_stage,status
clean,fedavg,42,1,honest_honest,10,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
clean,fedavg,42,1,attacker_honest,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,42,1,sybil_sybil,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,42,2,honest_honest,10,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
clean,fedavg,42,2,attacker_honest,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,42,2,sybil_sybil,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,42,3,honest_honest,10,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
clean,fedavg,42,3,attacker_honest,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,42,3,sybil_sybil,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,42,4,honest_honest,10,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
clean,fedavg,42,4,attacker_honest,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,42,4,sybil_sybil,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,42,5,honest_honest,10,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
clean,fedavg,42,5,attacker_honest,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,42,5,sybil_sybil,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,42,6,honest_honest,10,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
clean,fedavg,42,6,attacker_honest,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,42,6,sybil_sybil,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,42,7,honest_honest,10,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
clean,fedavg,42,7,attacker_honest,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,42,7,sybil_sybil,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,42,8,honest_honest,10,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
clean,fedavg,42,8,attacker_honest,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,42,8,sybil_sybil,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
clean,fedavg,42,9,honest_honest,10,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
