round,client,update_norm,sent_update_norm,scale_ratio
1,0,2.170218496058302,21.702184997951672,10.000000017218843
1,1,1.713839184970722,1.713839184970722,1.0
1,2,2.2090511448987353,2.2090511448987353,1.0
1,3,1.739443339611607,1.739443339611607,1.0
1,4,2.0111431260794865,2.0111431260794865,1.0
2,0,1.236677463584035,12.36677465003482,10.000000011477908
2,1,1.3365250959799129,1.3365250959799129,1.0
2,2,1.2713413437406589,1.2713413437406589,1.0
2,3,1.280941743886009,1.280941743886009,1.0
2,4,1.3739428981025545,1.3739428981025545,1.0
3,0,2.2133614272665496,22.1336142746208,10.000000000883409
3,1,1.8466664832776236,1.8466664832776236,1.0
3,2,2.0794439269134983,2.0794439269134983,1.0
3,3,2.0660517178567854,2.0660517178567854,1.0
3,4,2.0576453696798134,2.0576453696798134,1.0
4,0,2.165938772670384,21.659387730561985,10.000000001781281
4,1,2.976556254131441,2.976556254131441,1.0
4,2,2.657455262729155,2.657455262729155,1.0
4,3,2.4928107840880545,2.4928107840880545,1.0
4,4,2.5738318795300343,2.5738318795300343,1.0
5,0,2.091221949147494,20.912219482924566,9.999999995911303
5,1,1.444742257454076,1.444742257454076,1.0
5,2,2.1223183759745785,2.1223183759745785,1.0
5,3,1.7267004695251191,1.7267004695251191,1.0
5,4,1.8376071540168493,1.8376071540168493,1.0
6,0,2.1028044704732936,21.028044698764628,9.999999997161739
6,1,2.287219813634234,2.287219813634234,1.0
6,2,1.9270017790934793,1.9270017790934793,1.0
6,3,2.1937093682757,2.1937093682757,1.0
6,4,2.0407188883288256,2.0407188883288256,1.0
7,0,3.118923059010634,31.189230522724838,9.999999978395907
7,1,2.7138693558119646,2.7138693558119646,1.0
7,2,3.1551804504601217,3.1551804504601217,1.0
7,3,2.9619429065560507,2.9619429065560507,1.0
7,4,2.977671286054806,2.977671286054806,1.0
8,0,2.8167486832646262,28.167486632790105,9.999999929047217
8,1,3.0027175188510795,3.0027175188510795,1.0
8,2,2.3711885290667056,2.3711885290667056,1.0
8,3,2.8026504857852754,2.8026504857852754,1.0
8,4,2.805707937475935,2.805707937475935,1.0
9,0,2.2136950615511646,22.136950631233013,10.000000007101868
9,1,2.038322622884047,2.038322622884047,1.0
9,2,2.365915900171391,2.365915900171391,1.0
9,3,2.0462379399029897,2.0462379399029897,1.0
9,4,2.101574647535976,2.101574647535976,1.0
10,0,2.524356112882597,25.24356085429335,9.999999891246476
10,1,2.5146670695739246,2.5146670695739246,1.0
10,2,2.1317655439840157,2.1317655439840157,1.0
10,3,2.4322671612976383,2.4322671612976383,1.0
10,4,2.536064091007389,2.536064091007389,1.0
