round,client,update_norm,sent_update_norm,scale_ratio
1,0,2.577484612088516,5.154969224681013,2.000000000195532
1,1,2.6280192493818144,2.6280192493818144,1.0
1,2,1.6050328571181174,1.6050328571181174,1.0
1,3,1.7902626865074724,1.7902626865074724,1.0
1,4,1.2987337341502687,1.2987337341502687,1.0
2,0,1.213203074665273,2.426406158517481,2.0000000075724627
2,1,1.8203561960326697,1.8203561960326697,1.0
2,2,1.0052209519535387,1.0052209519535387,1.0
2,3,1.4113537514466634,1.4113537514466634,1.0
2,4,1.0476677084690642,1.0476677084690642,1.0
3,0,0.7512836424035522,1.502567290033539,2.000000006956673
3,1,1.3499541788345648,1.3499541788345648,1.0
3,2,0.7380390722694352,0.7380390722694352,1.0
3,3,1.1524803682257114,1.1524803682257114,1.0
3,4,0.847557716328616,0.847557716328616,1.0
4,0,0.5760456754096462,1.1520913568858846,2.000000010531443
4,1,1.0953958242735564,1.0953958242735564,1.0
4,2,0.6379420787609597,0.6379420787609597,1.0
4,3,1.0120662705223704,1.0120662705223704,1.0
4,4,0.7373898832997123,0.7373898832997123,1.0
5,0,0.492718198836538,0.9854364018910952,2.000000008560713
5,1,0.933178756774099,0.933178756774099,1.0
5,2,0.5715793266357516,0.5715793266357516,1.0
5,3,0.9063161156600071,0.9063161156600071,1.0
5,4,0.6809164175080479,0.6809164175080479,1.0
6,0,0.44732124483742874,0.8946424861211754,1.9999999920556375
6,1,0.8236280264936403,0.8236280264936403,1.0
6,2,0.5572714224529047,0.5572714224529047,1.0
6,3,0.853149093814228,0.853149093814228,1.0
6,4,0.6261839692706334,0.6261839692706334,1.0
7,0,0.43026067168078347,0.8605213396759165,1.9999999914339128
7,1,0.7523453201871142,0.7523453201871142,1.0
7,2,0.5302563064106026,0.5302563064106026,1.0
7,3,0.7841838874654804,0.7841838874654804,1.0
7,4,0.6017409996857594,0.6017409996857594,1.0
8,0,0.3913997781684813,0.7827995539620061,1.9999999939321464
8,1,0.7093950049112572,0.7093950049112572,1.0
8,2,0.5146574939313926,0.5146574939313926,1.0
8,3,0.7497386289886222,0.7497386289886222,1.0
8,4,0.5881813583599833,0.5881813583599833,1.0
9,0,0.38514551364519845,0.7702910296243671,2.00000000605997
9,1,0.6617552854783949,0.6617552854783949,1.0
9,2,0.5170841347698152,0.5170841347698152,1.0
9,3,0.7229000394575072,0.7229000394575072,1.0
9,4,0.5626879421705956,0.5626879421705956,1.0
10,0,0.37675867203749736,0.7535173478511329,2.0000000100226973
10,1,0.6504321091832259,0.6504321091832259,1.0
10,2,0.5027843601977242,0.5027843601977242,1.0
10,3,0.6882199742942422,0.6882199742942422,1.0
10,4,0.5344010258803998,0.5344010258803998,1.0
