experiment,alpha,scale,seed,clean_accuracy,poisoned_accuracy,clean_loss,poisoned_loss,accuracy_damage_pp,loss_damage
A,0.01,10,42,0.6598,0.1032,1.0224088696479798,39.591342181396485,55.66000000000001,38.5689333117485
A,0.01,10,43,0.7723,0.7719,0.7827677361488342,0.7834173003196716,0.039999999999995595,0.0006495641708373912
A,0.01,10,44,0.6668,0.421,0.9148272637367248,1.698213148880005,24.579999999999995,0.7833858851432801
A,0.1,10,42,0.875,0.3118,0.4529510192155838,2.7422515251159667,56.31999999999999,2.289300505900383
A,0.1,10,43,0.8533,0.8537,0.460809302687645,0.45855895776748656,-0.0400000000000067,-0.002250344920158409
A,0.1,10,44,0.7577,0.2939,0.668371844959259,12.123216445922852,46.38,11.454844600963593
A,1,10,42,0.9065,0.6988,0.32928507601618767,0.9290314428329468,20.77,0.5997463668167591
A,1,10,43,0.9069,0.2541,0.33299457409381866,12.812009112548829,65.28,12.47901453845501
A,1,10,44,0.904,0.3131,0.3396742357134819,7.199963787841797,59.089999999999996,6.8602895521283145
A,10,10,42,0.9092,0.0985,0.3255740563452244,20.81383871459961,81.07,20.488264658254383
A,10,10,43,0.9085,0.4644,0.3217307507157326,2.788209156036377,44.41,2.466478405320644
A,10,10,44,0.9099,0.2833,0.3248148632645607,9.067277099609376,62.660000000000004,8.742462236344815
A,100,10,42,0.9094,0.3132,0.3233630145430565,8.176696228027344,59.620000000000005,7.853333213484288
A,100,10,43,0.9086,0.2443,0.3204451915502548,6.681671020507813,66.43,6.361225828957558
A,100,10,44,0.91,0.2301,0.3234851321280003,9.741413352966308,67.99000000000001,9.417928220838307
B,0.1,1,42,0.875,0.875,0.4529510192155838,0.4529510306596756,0.0,1.1444091840839832e-08
B,0.1,1,43,0.8533,0.8533,0.460809302687645,0.4608093345165253,0.0,3.1828880309170415e-08
B,0.1,1,44,0.7577,0.7577,0.668371844959259,0.6683718338489533,0.0,-1.1110305786488084e-08
B,0.1,2,42,0.875,0.8461,0.4529510192155838,0.4765398089170456,2.8900000000000037,0.023588789701461832
B,0.1,2,43,0.8533,0.8541,0.460809302687645,0.45992653329372407,-0.08000000000000229,-0.0008827693939209014
B,0.1,2,44,0.7577,0.7473,0.668371844959259,0.746067264509201,1.0400000000000076,0.07769541954994197
B,0.1,5,42,0.875,0.7992,0.4529510192155838,0.5821103427648544,7.579999999999998,0.12915932354927062
B,0.1,5,43,0.8533,0.8547,0.460809302687645,0.4582833271741867,-0.14000000000000679,-0.0025259755134582895
B,0.1,5,44,0.7577,0.6821,0.668371844959259,0.9526181069374084,7.5600000000000005,0.2842462619781494
B,0.1,10,42,0.875,0.3118,0.4529510192155838,2.7422515251159667,56.31999999999999,2.289300505900383
B,0.1,10,43,0.8533,0.8537,0.460809302687645,0.45855895776748656,-0.0400000000000067,-0.002250344920158409
B,0.1,10,44,0.7577,0.2939,0.668371844959259,12.123216445922852,46.38,11.454844600963593
B,0.1,20,42,0.875,0.1135,0.4529510192155838,53.58882635498047,76.14999999999999,53.13587533576489
B,0.1,20,43,0.8533,0.8485,0.460809302687645,0.46548956253528595,0.47999999999999154,0.004680259847640977
B,0.1,20,44,0.7577,0.3225,0.668371844959259,14.636686769104005,43.52,13.968314924144746
