round,client,update_norm,sent_update_norm,scale_ratio
1,0,1.9430578266041632,1.9430578266041632,1.0
1,1,2.1154186199884686,2.1154186199884686,1.0
1,2,2.147642494468386,2.147642494468386,1.0
1,3,1.9280328290308562,1.9280328290308562,1.0
1,4,1.8378080401868966,1.8378080401868966,1.0
2,0,1.4254749657252266,1.4254749657252266,1.0
2,1,1.6057751609216862,1.6057751609216862,1.0
2,2,1.534775791048292,1.534775791048292,1.0
2,3,1.467917769713062,1.467917769713062,1.0
2,4,1.6328876770044225,1.6328876770044225,1.0
3,0,0.975467790261567,0.975467790261567,1.0
3,1,1.2106850145466168,1.2106850145466168,1.0
3,2,1.1072983323198697,1.1072983323198697,1.0
3,3,1.0241530772391185,1.0241530772391185,1.0
3,4,1.201981040501328,1.201981040501328,1.0
4,0,0.762374273697406,0.762374273697406,1.0
4,1,0.983731403468879,0.983731403468879,1.0
4,2,0.888065337785695,0.888065337785695,1.0
4,3,0.7697872361856205,0.7697872361856205,1.0
4,4,0.9289640348764584,0.9289640348764584,1.0
5,0,0.6502382258700073,0.6502382258700073,1.0
5,1,0.857332670615579,0.857332670615579,1.0
5,2,0.7782448561161596,0.7782448561161596,1.0
5,3,0.651022352442597,0.651022352442597,1.0
5,4,0.7616473641900495,0.7616473641900495,1.0
6,0,0.5850836238398954,0.5850836238398954,1.0
6,1,0.7769702353862499,0.7769702353862499,1.0
6,2,0.7133676971439048,0.7133676971439048,1.0
6,3,0.5658617709685262,0.5658617709685262,1.0
6,4,0.6494166388132365,0.6494166388132365,1.0
7,0,0.5530926233282019,0.5530926233282019,1.0
7,1,0.7323777130092985,0.7323777130092985,1.0
7,2,0.673306974205792,0.673306974205792,1.0
7,3,0.5281337893647303,0.5281337893647303,1.0
7,4,0.5797290179239301,0.5797290179239301,1.0
8,0,0.5066818418028817,0.5066818418028817,1.0
8,1,0.7007947607801912,0.7007947607801912,1.0
8,2,0.6415911757941439,0.6415911757941439,1.0
8,3,0.48850808030066495,0.48850808030066495,1.0
8,4,0.5212954952500105,0.5212954952500105,1.0
9,0,0.49375112092152135,0.49375112092152135,1.0
9,1,0.6789111462891129,0.6789111462891129,1.0
9,2,0.6198852153838402,0.6198852153838402,1.0
9,3,0.47097337153307606,0.47097337153307606,1.0
9,4,0.48054179498742033,0.48054179498742033,1.0
10,0,0.478205532188045,0.478205532188045,1.0
10,1,0.6571072633398004,0.6571072633398004,1.0
10,2,0.599010604036209,0.599010604036209,1.0
10,3,0.45481636215864035,0.45481636215864035,1.0
10,4,0.4575077413137972,0.4575077413137972,1.0
