round,client,update_norm,sent_update_norm,scale_ratio
1,0,2.2007457206968923,22.007457243043863,10.000000016392143
1,1,2.0373133762742124,2.0373133762742124,1.0
1,2,1.732572293979729,1.732572293979729,1.0
1,3,2.189593442132694,2.189593442132694,1.0
1,4,2.210717372555438,2.210717372555438,1.0
2,0,0.48438554735535905,4.843855467000537,9.99999998647141
2,1,2.2744222194660915,2.2744222194660915,1.0
2,2,2.5358743827881467,2.5358743827881467,1.0
2,3,2.3787900338704997,2.3787900338704997,1.0
2,4,2.3650700430303715,2.3650700430303715,1.0
3,0,0.3987106704442683,3.987106709181915,10.000000011886394
3,1,1.03766380761699,1.03766380761699,1.0
3,2,1.151471058184277,1.151471058184277,1.0
3,3,0.9916862418429297,0.9916862418429297,1.0
3,4,1.0727230829575536,1.0727230829575536,1.0
4,0,0.37003731460390515,3.7003731364226975,9.999999974012475
4,1,0.9703133786351331,0.9703133786351331,1.0
4,2,1.0082686805346366,1.0082686805346366,1.0
4,3,0.8633937023444161,0.8633937023444161,1.0
4,4,0.9756429514619738,0.9756429514619738,1.0
5,0,0.44677105872318834,4.467710593714587,10.000000014510125
5,1,0.8641806735358945,0.8641806735358945,1.0
5,2,0.7939614125191751,0.7939614125191751,1.0
5,3,0.8011116187877011,0.8011116187877011,1.0
5,4,0.959797662327442,0.959797662327442,1.0
6,0,0.5785392878473887,5.785392890858493,10.000000021406679
6,1,0.9343515762131145,0.9343515762131145,1.0
6,2,0.9656639708528347,0.9656639708528347,1.0
6,3,0.8806604961812544,0.8806604961812544,1.0
6,4,0.9191630609984256,0.9191630609984256,1.0
7,0,0.8194903122709016,8.19490312367362,10.000000001177078
7,1,1.0578660071467583,1.0578660071467583,1.0
7,2,0.9372750557384346,0.9372750557384346,1.0
7,3,1.0416314629003427,1.0416314629003427,1.0
7,4,1.2076436324881898,1.2076436324881898,1.0
8,0,1.3736670004538556,13.736670026909438,10.00000001628552
8,1,1.3905435602654264,1.3905435602654264,1.0
8,2,1.5294596388248316,1.5294596388248316,1.0
8,3,1.4179800791411399,1.4179800791411399,1.0
8,4,1.292822104020773,1.292822104020773,1.0
9,0,2.1097696959695424,21.09769687554788,9.999999960115293
9,1,2.1263682188116975,2.1263682188116975,1.0
9,2,1.7000166595706692,1.7000166595706692,1.0
9,3,2.212443783400558,2.212443783400558,1.0
9,4,2.4121268704744687,2.4121268704744687,1.0
10,0,2.0703500121657727,20.7035000702843,9.999999975186114
10,1,2.0149175012876612,2.0149175012876612,1.0
10,2,2.1983987657875557,2.1983987657875557,1.0
10,3,1.9912026063640158,1.9912026063640158,1.0
10,4,1.8242068456852347,1.8242068456852347,1.0
