alpha,seed,clean_accuracy,poisoned_accuracy,clean_loss,poisoned_loss,accuracy_damage_pp,loss_damage
0.01,42,0.8784,0.1948,0.43100618171691896,7.929224975585938,68.36,7.498218793869019
0.01,43,0.8576,0.2442,0.47056630177497866,4.652857690429688,61.34,4.182291388654709
0.01,44,0.8309,0.2601,0.4926730460882187,8.141919219970703,57.08,7.649246173882484
0.1,42,0.892,0.2839,0.4030652875185013,4.759283768081665,60.81000000000001,4.356218480563164
0.1,43,0.8886,0.259,0.38793335686922076,6.1282586563110355,62.959999999999994,5.740325299441815
0.1,44,0.8503,0.298,0.4747407714128494,4.99137721862793,55.230000000000004,4.51663644721508
1,42,0.9074,0.2519,0.3316851038753986,7.514067501831055,65.55,7.1823823979556565
1,43,0.9074,0.3745,0.32991895990371706,3.8991407733917236,53.28999999999999,3.5692218134880065
1,44,0.907,0.4138,0.3407019311070442,4.488470780181885,49.32,4.147768849074841
10,42,0.9087,0.3274,0.3247306404054165,7.074532135772705,58.129999999999995,6.749801495367288
10,43,0.9079,0.326,0.32337153720259665,8.086433291625976,58.19000000000001,7.763061754423379
10,44,0.91,0.288,0.32580233734846115,7.294897888946533,62.20000000000001,6.9690955515980715
100,42,0.91,0.3945,0.3230814689040184,5.169522743225098,51.550000000000004,4.84644127432108
100,43,0.9088,0.3094,0.3206568488538265,6.007607739257812,59.940000000000005,5.686950890403986
100,44,0.9108,0.3319,0.32386953857541084,6.544740692138672,57.89000000000001,6.220871153563261
